Headline,Timestamp,processed_headline,sentiment,NE_Headline,Date,Month,Year,Subjectivity,Polarity
HDFC Bank hikes loan interest rates by up to 10 bps: Check how much rates have been hiked in one year,2024-01-08T06:58:43Z,hdfc bank hike loan interest rate 10 bps check much rate hiked one year,positive,HDFC Bank,8,1,2024,0.2,0.2
HDFC Bank Share Price Live Updates: HDFC Bank Sees Slight Increase in Price with 0.63% Change Today,2024-01-09T07:46:16Z,hdfc bank share price live update hdfc bank see slight increase price 063 change today,negative,HDFC Bank Share HDFC Bank Sees Slight Increase,9,1,2024,0.3333333333333333,-0.015151515151515152
"MCap of 6 leading firms in top 10 sees ₹57,408 crore dip; TCS, HDFC Bank worst hit | Mint",2024-01-07T05:51:04Z,mcap 6 leading firm top 10 see 57408 crore dip tc hdfc bank worst hit mint,negative,TCS HDFC Bank,7,1,2024,0.6333333333333333,-0.2333333333333333
"HDFC Bank News: కస్టమర్లకు భారీ షాకిచ్చిన హెచ్‌డీఎఫ్‌సీ బ్యాంక్.. కీలక ప్రకటన, ఈరోజు నుంచి | HDFC Bank hike...",2024-01-08T09:40:09Z,hdfc bank news కసటమరలక భర షకచచన హచడఎఫస బయక కలక పరకటన ఈరజ నచ hdfc bank hike,neutral,HDFC Bank HDFC Bank,8,1,2024,0.0,0.0
"Mcap of 6 of top-10 most valued firms decline by Rs 57,408 crore; TCS, HDFC Bank major laggards",2024-01-07T05:38:57Z,mcap 6 top10 valued firm decline r 57408 crore tc hdfc bank major laggard,negative,TCS HDFC Bank,7,1,2024,0.45,-0.06875
"HDFC Bank ने बढ़ाया MCLR रेट्स, अब से लोन पर देना होगा ज्यादा ब्याज",2024-01-08T13:40:34Z,hdfc bank न बढय mclr रटस अब स लन पर दन हग जयद बयज,neutral,HDFC Bank अब,8,1,2024,0.0,0.0
"HDFC ग्राहकों को लगा बड़ा झटका, अब होम, कार और पर्सनल लोन लेने वालों को देना होगा ज्यादा पैसा",2024-01-09T07:33:50Z,hdfc गरहक क लग बड झटक अब हम कर और परसनल लन लन वल क दन हग जयद पस,neutral,HDFC अब,9,1,2024,0.0,0.0
"SBI, ICICI, Axis और HDFC Bank ने बदले क्रेडिट कार्ड से जुड़े नियम, जानिए यूजर्स पर क्या होगा असर...",2024-01-08T11:17:19Z,sbi icici axis और hdfc bank न बदल करडट करड स जड नयम जनए यजरस पर कय हग असर,neutral,ICICI Axis और HDFC Bank,8,1,2024,0.0,0.0
"HDFC Bank : HDFC बँकेच्या ग्राहकांना धक्का, आता 'या' कामासाठी मोजावे लागणार जास्त पैसे !",2024-01-09T08:47:25Z,hdfc bank hdfc बकचय गरहकन धकक आत य कमसठ मजव लगणर जसत पस,neutral,HDFC Bank HDFC,9,1,2024,0.0,0.0
HDFC Bank: హెచ్‌డీఎఫ్‌సీ బ్యాంక్ షాకింగ్ నిర్ణయం.. కస్టమర్లకు పెద్ద దెబ్బ.. ఇవాళ్టి నుంచే అమల్లోకి..,2024-01-08T07:59:21Z,hdfc bank హచడఎఫస బయక షకగ నరణయ కసటమరలక పదద దబబ ఇవళట నచ అమలలక,neutral,HDFC Bank,8,1,2024,0.0,0.0
"New credit card rules: Know major changes in HDFC Bank, SBI Card, ICICI Bank and Axis Bank credit cards",2024-01-08T10:05:24Z,new credit card rule know major change hdfc bank sbi card icici bank axis bank credit card,positive,New HDFC Bank SBI Card ICICI Bank Axis Bank,8,1,2024,0.4772727272727273,0.09943181818181818
"HDFC Bank ने बढ़ाया MCLR रेट्स, अब से लोन पर देना होगा ज्यादा ब्याज",2024-01-08T15:20:35Z,hdfc bank न बढय mclr रटस अब स लन पर दन हग जयद बयज,neutral,HDFC Bank अब,8,1,2024,0.0,0.0
"Mcap of 6 of top-10 most valued firms decline by Rs 57,408 cr; TCS, HDFC Bank major laggards",2024-01-07T05:16:49Z,mcap 6 top10 valued firm decline r 57408 cr tc hdfc bank major laggard,negative,TCS HDFC Bank,7,1,2024,0.45,-0.06875
Hdfc Bank share price Today Live Updates : HDFC Bank shares decline in trading today | Mint,2024-01-09T08:50:58Z,hdfc bank share price today live update hdfc bank share decline trading today mint,positive,Hdfc Bank HDFC Bank,9,1,2024,0.5,0.13636363636363635
"HDFC Bank, Tata Steel, RIL, ICICI, JSW Steel to drive Q3 Nifty results, says Motilal. Full table",2024-01-08T05:31:58Z,hdfc bank tata steel ril icici jsw steel drive q3 nifty result say motilal full table,positive,HDFC Bank Tata Steel RIL ICICI JSW Steel Q3 Nifty Motilal Full,8,1,2024,0.55,0.35
"HDFC Bank Stock, Adani Ports; Top Chartbuster Stocks Ideas By Kunal & Nooresh| Chart Analysis",2024-01-09T06:02:18Z,hdfc bank stock adani port top chartbuster stock idea kunal nooresh chart analysis,positive,HDFC Bank Stock Adani Ports Top Chartbuster Stocks Ideas Kunal,9,1,2024,0.5,0.5
HDFC Bank's advances rise 62.4% to Rs 24.7 trn in December quarter,2024-01-05T06:09:11Z,hdfc bank advance rise 624 r 247 trn december quarter,neutral,HDFC Bank,5,1,2024,0.0,0.0
"HDFC Bank Q3 business update: Gross advances grow 62.4%, retail loans 111% up",2024-01-05T04:00:17Z,hdfc bank q3 business update gross advance grow 624 retail loan 111,neutral,HDFC Bank Q3,5,1,2024,0.0,0.0
"Mcap of 6 of top-10 most-valued firms decline by ₹57,408 cr; TCS, HDFC Bank major laggards",2024-01-07T05:28:36Z,mcap 6 top10 mostvalued firm decline 57408 cr tc hdfc bank major laggard,negative,TCS HDFC Bank,7,1,2024,0.45,-0.06875
"HDFC Bank shares Q3 business update, says advances jump 62.4%, deposits 27.7%",2024-01-05T03:53:26Z,hdfc bank share q3 business update say advance jump 624 deposit 277,neutral,HDFC Bank,5,1,2024,0.0,0.0
"Sanjiv Bhasin Top Stocks Picks For Today; HDFC Bank, Zee Entertainment Stocks, Zee Sony Merger",2024-01-09T03:41:34Z,sanjiv bhasin top stock pick today hdfc bank zee entertainment stock zee sony merger,positive,Sanjiv Bhasin Top Stocks Picks HDFC Bank Zee Entertainment Stocks Zee Sony Merger,9,1,2024,0.5,0.5
"HDFC Bank, Reliance Industries, Infosys among 9 bottom-up ideas in Bernstein India Model Portfolio | Mint",2024-01-05T04:48:52Z,hdfc bank reliance industry infosys among 9 bottomup idea bernstein india model portfolio mint,neutral,HDFC Bank Reliance Industries Infosys Bernstein India Model Portfolio,5,1,2024,0.0,0.0
"Paytm, SBI, Axis, ICICI, Kotak Bank, HDFC Bank shares: Bernstein sees up to 47% upside. Here's why",2024-01-03T07:55:49Z,paytm sbi axis icici kotak bank hdfc bank share bernstein see 47 upside here,neutral,Paytm SBI Axis ICICI Kotak Bank HDFC Bank Bernstein,3,1,2024,0.0,0.0
"Hdfc Bank share price Today Live Updates : Hdfc Bank closed today at ₹1682.5, down -0.45% from yesterday's ₹1690.1 | Mint",2024-01-05T13:06:12Z,hdfc bank share price today live update hdfc bank closed today 16825 045 yesterday 16901 mint,positive,Hdfc Bank Hdfc Bank,5,1,2024,0.3,0.018181818181818174
Will HDFC Bank Outperform In 2024 After 3 Years Of Underperformance?,2024-01-04T06:44:05Z,hdfc bank outperform 2024 3 year underperformance,neutral,Will HDFC Bank Outperform,4,1,2024,0.0,0.0
"These 5 stocks including HDFC Bank, Bajaj Finance command 71% of the Nifty 50 gains today | Mint",2024-01-04T11:33:40Z,5 stock including hdfc bank bajaj finance command 71 nifty 50 gain today mint,neutral,HDFC Bank Bajaj Finance Mint,4,1,2024,0.0,0.0
"Hdfc Bank share price Today Live Updates : Hdfc Bank closed today at ₹1663.75, down -1.11% from yesterday's ₹1682.5 | Mint",2024-01-08T13:04:12Z,hdfc bank share price today live update hdfc bank closed today 166375 111 yesterday 16825 mint,positive,Hdfc Bank Hdfc Bank,8,1,2024,0.3,0.018181818181818174
"Hdfc Bank share price Today Live Updates : Hdfc Bank closed today at ₹1690.1, up 1.03% from yesterday's ₹1672.85 | Mint",2024-01-04T13:14:34Z,hdfc bank share price today live update hdfc bank closed today 16901 103 yesterday 167285 mint,positive,Hdfc Bank Hdfc Bank,4,1,2024,0.3,0.018181818181818174
HDFC Bank Q3 Update: Gross advances rise 62.4% to ₹24.69 lakh crore; deposits up 27.7% YoY | Mint,2024-01-05T04:01:32Z,hdfc bank q3 update gross advance rise 624 2469 lakh crore deposit 277 yoy mint,neutral,HDFC Bank Q3 YoY,5,1,2024,0.0,0.0
"HDFC Bank raises ₹7,425 crore via bonds to fund infra, affordable housing projects | Mint",2023-12-20T08:00:00Z,hdfc bank raise 7425 crore via bond fund infra affordable housing project mint,neutral,HDFC Bank Mint,20,12,2023,0.0,0.0
HDFC Bank Q3 Update: Gross advances jump 62% YoY to Rs 24.69 lakh crore,2024-01-05T04:39:08Z,hdfc bank q3 update gross advance jump 62 yoy r 2469 lakh crore,neutral,HDFC Bank Q3 Gross YoY,5,1,2024,0.0,0.0
"How will HDFC Bank, Axis Bank, SBI and others perform in 2024? 5 key trends that will determine banks' performance | Mint",2024-01-04T09:58:19Z,hdfc bank axis bank sbi others perform 2024 5 key trend determine bank performance mint,neutral,HDFC Bank Axis Bank SBI,4,1,2024,1.0,0.0
"HDFC Bank shares trade in red on Q3 update, gross advances rise 62.4%",2024-01-05T05:40:58Z,hdfc bank share trade red q3 update gross advance rise 624,neutral,HDFC Bank,5,1,2024,0.0,0.0
HDFC Bank Q3 Results: Gross advances up by 62.4% to Rs 24.69 lakh crore - Elets BFSI,2024-01-05T06:37:20Z,hdfc bank q3 result gross advance 624 r 2469 lakh crore elets bfsi,neutral,HDFC Bank Q3 Gross,5,1,2024,0.0,0.0
HDFC Bank loan book rises to Rs 24.69 lakh cr in Q3,2024-01-08T14:02:47Z,hdfc bank loan book rise r 2469 lakh cr q3,neutral,HDFC Bank Q3,8,1,2024,0.0,0.0
HDFC Bank Q3 Update: Advances rise 4.9% QoQ; deposit growth lags,2024-01-05T15:42:22Z,hdfc bank q3 update advance rise 49 qoq deposit growth lag,neutral,HDFC Bank Q3 QoQ,5,1,2024,0.0,0.0
"SBI, Dabur, HDFC Bank among 8 high conviction picks of Centrum Broking | Mint",2024-01-03T04:05:50Z,sbi dabur hdfc bank among 8 high conviction pick centrum broking mint,positive,Dabur HDFC Bank Centrum Broking,3,1,2024,0.5399999999999999,0.16
"F&O stocks: HDFC Bank, Sun Pharma among 5 stocks with short buildup",2024-01-05T08:04:04Z,fo stock hdfc bank sun pharma among 5 stock short buildup,neutral,HDFC Bank Sun Pharma,5,1,2024,0.3,0.0
"Hdfc Bank Outlook for the Week (January 01, 2024 - January 05, 2024)",2024-01-05T10:21:35Z,hdfc bank outlook week january 01 2024 january 05 2024,neutral,Hdfc Bank Outlook Week,5,1,2024,0.0,0.0
"HDFC Bank Share Price Live Updates: HDFC Bank Sees 1.12% Decline in Current Price, 1-Month Returns at 0.89 ...",2024-01-08T12:30:24Z,hdfc bank share price live update hdfc bank see 112 decline current price 1month return 089,positive,HDFC Bank Share HDFC Bank Current Price,8,1,2024,0.45,0.06818181818181818
"TCS, HDFC Bank Weigh As Six Of 10 Most Valued Firms Lose Rs 57,408 Crore In Market Cap",2024-01-07T05:35:51Z,tc hdfc bank weigh six 10 valued firm lose r 57408 crore market cap,negative,HDFC Bank Weigh As Six Of 10 Most Market,7,1,2024,0.4,-0.2
Fixed deposit interest rates: SBI vs ICICI Bank vs HDFC Bank vs Axis Bank vs PNB compared,2024-01-08T06:57:29Z,fixed deposit interest rate sbi v icici bank v hdfc bank v axis bank v pnb compared,positive,SBI ICICI Bank HDFC Bank Axis Bank PNB,8,1,2024,0.2,0.1
HDFC Bank market cap hits Rs 13 trn mark,2024-01-05T08:27:44Z,hdfc bank market cap hit r 13 trn mark,neutral,HDFC Bank,5,1,2024,0.0,0.0
"HDFC Bank Q3 update: Advances grow 62.4%, strong growth in retail loans",2024-01-05T04:36:45Z,hdfc bank q3 update advance grow 624 strong growth retail loan,positive,HDFC Bank Q3,5,1,2024,0.7333333333333333,0.4333333333333333
"Bajaj Finance, Tata Consumer top gainers on Nifty50; HDFC Bank, ICICI most active on Jan 4",2024-01-04T12:34:04Z,bajaj finance tata consumer top gainer nifty50 hdfc bank icici active jan 4,positive,Bajaj Finance Tata Consumer Nifty50 HDFC Bank ICICI,4,1,2024,0.55,0.18333333333333335
HDFC Bank goes live with NPCI-developed UPI in secondary market platform,2024-01-01T18:17:26Z,hdfc bank go live npcideveloped upi secondary market platform,negative,HDFC Bank,1,1,2024,0.4,-0.08181818181818182
"Nifty Bank outlook: Index support at 48,000 level; all eyes on HDFC Bank, PNB, BOB shares",2024-01-01T04:27:11Z,nifty bank outlook index support 48000 level eye hdfc bank pnb bob share,neutral,Nifty Bank HDFC Bank PNB BOB,1,1,2024,0.0,0.0
"PNB revises fixed deposit interest rates: Here's a comparison with SBI, HDFC Bank",2024-01-04T07:05:05Z,pnb revise fixed deposit interest rate here comparison sbi hdfc bank,positive,PNB SBI HDFC Bank,4,1,2024,0.2,0.1
HDFC Bank shares slip marginally as deposit growth slows in Q3FY24,2024-01-06T05:32:00Z,hdfc bank share slip marginally deposit growth slows q3fy24,neutral,HDFC Bank Q3FY24,6,1,2024,0.0,0.0
HDFC Bank Vs SBI Vs ICICI Bank: Check Detailed FD Interest Rate Comparison,2024-01-07T19:52:00Z,hdfc bank v sbi v icici bank check detailed fd interest rate comparison,positive,HDFC Bank Vs ICICI Bank Check Detailed FD Interest Rate Comparison,7,1,2024,0.75,0.4
"Mcap of 6 of top-10 most valued firms decline by Rs 57,408 cr; TCS, HDFC Bank major laggards",2024-01-08T13:28:32Z,mcap 6 top10 valued firm decline r 57408 cr tc hdfc bank major laggard,negative,TCS HDFC Bank,8,1,2024,0.45,-0.06875
"Can HDFC Bank have $16 trillion m-cap, ITC deliver 25% CAGR in next 20 years? D Muthukrishnan says 'develop sense of size'",2024-01-02T15:47:40Z,hdfc bank 16 trillion mcap itc deliver 25 cagr next 20 year muthukrishnan say develop sense size,neutral,HDFC Bank ITC CAGR,2,1,2024,0.0,0.0
"HDFC Bank Q3 Update: Gross Advances Grow 62.4% YoY To Rs 24.69 L Cr, Retail Loans 111% Up",2024-01-05T19:39:00Z,hdfc bank q3 update gross advance grow 624 yoy r 2469 l cr retail loan 111,neutral,HDFC Bank Q3 Gross Advances YoY Retail Loans,5,1,2024,0.0,0.0
"SBI, HDFC Bank will need to maintain higher capital from FY25, says RBI",2023-12-28T08:00:00Z,sbi hdfc bank need maintain higher capital fy25 say rbi,positive,HDFC Bank FY25 RBI,28,12,2023,0.5,0.25
HDFC Bank Q3 Updates: Deposit Accretion Slows,2024-01-05T05:20:59Z,hdfc bank q3 update deposit accretion slows,neutral,HDFC Bank Q3 Slows,5,1,2024,0.0,0.0
HDFC Bank revises rates on these fixed deposits. Check latest FD rates here | Mint,2023-11-28T08:00:00Z,hdfc bank revise rate fixed deposit check latest fd rate mint,positive,HDFC Bank Check Mint,28,11,2023,0.55,0.3
"HDFC Bank falls Monday, underperforms market",2024-01-08T10:30:00Z,hdfc bank fall monday underperforms market,neutral,HDFC Bank,8,1,2024,0.0,0.0
HDFC Bank shares in focus ahead of FTSE index rebalancing; likely to see inflows of $450 mn,2023-12-15T08:00:00Z,hdfc bank share focus ahead ftse index rebalancing likely see inflow 450 mn,neutral,HDFC Bank FTSE,15,12,2023,1.0,0.0
"FD rate hikes: Latest fixed deposit rates by 6 major lenders including SBI, HDFC Bank and ICICI Bank | Mint",2024-01-03T13:39:30Z,fd rate hike latest fixed deposit rate 6 major lender including sbi hdfc bank icici bank mint,positive,SBI HDFC Bank ICICI Bank,3,1,2024,0.5333333333333333,0.22083333333333333
HDFC Bank's advances up 62%,2024-01-05T21:26:56Z,hdfc bank advance 62,neutral,HDFC Bank,5,1,2024,0.0,0.0
"HDFC Bank Q3 business update: Lenders gross advances jump 62.4%, retail loans zoom 111%",2024-01-05T07:14:50Z,hdfc bank q3 business update lender gross advance jump 624 retail loan zoom 111,neutral,HDFC Bank Q3,5,1,2024,0.0,0.0
"DLF , HDFC Bank, L&T, Hero, Lupin among 17 top picks by Sharekhan for year 2024 | Mint",2024-01-01T08:21:10Z,dlf hdfc bank lt hero lupin among 17 top pick sharekhan year 2024 mint,positive,HDFC Bank Hero Lupin Sharekhan,1,1,2024,0.5,0.5
FTSE index rebalancing: Spotlight on HDFC Bank and Mankind Pharma,2023-12-15T08:00:00Z,ftse index rebalancing spotlight hdfc bank mankind pharma,neutral,FTSE HDFC Bank Mankind Pharma,15,12,2023,0.0,0.0
"Mcap of 6 of Top-10 Most Valued Firms Decline by Rs 57,408 Crore; TCS, HDFC Bank Major Laggards",2024-01-07T21:14:00Z,mcap 6 top10 valued firm decline r 57408 crore tc hdfc bank major laggard,negative,Crore TCS HDFC Bank,7,1,2024,0.45,-0.06875
Marriott Bonvoy HDFC Bank Diners Club Credit Card improves onboarding benefits delivery,2024-01-05T06:52:06Z,marriott bonvoy hdfc bank diner club credit card improves onboarding benefit delivery,neutral,Marriott Bonvoy HDFC Bank Diners Club Credit Card,5,1,2024,0.0,0.0
"Bank Nifty soars past 48,000 for first time as HDFC Bank jumps on FTSE rejig",2023-12-15T08:00:00Z,bank nifty soar past 48000 first time hdfc bank jump ftse rejig,neutral,Bank Nifty HDFC Bank FTSE,15,12,2023,0.29166666666666663,0.0
HDFC Bank Launches 'UPI for Secondary Market' Feature in Stock Trading IT Voice | IT in Depth,2024-01-04T07:02:50Z,hdfc bank launch upi secondary market feature stock trading voice depth,negative,HDFC Bank Launches Market Stock Depth,4,1,2024,0.3,-0.3
Mcap of 8 of top-10 most valued firms soar to ₹1.29 lakh crore; HDFC Bank biggest gainer | Mint,2023-12-31T06:58:22Z,mcap 8 top10 valued firm soar 129 lakh crore hdfc bank biggest gainer mint,negative,HDFC Bank,31,12,2023,0.4,-0.2
HDFC Bank goes live with 'UPI for secondary market' facility in stock trading; see details,2024-01-02T02:45:31Z,hdfc bank go live upi secondary market facility stock trading see detail,negative,HDFC Bank,2,1,2024,0.4,-0.08181818181818182
"Mid-day Mood | Indices trade flat, Nifty holds 21,700; HDFC Bank breaks 4-day winning streak",2024-01-01T07:18:08Z,midday mood index trade flat nifty hold 21700 hdfc bank break 4day winning streak,positive,Mood Nifty HDFC Bank,1,1,2024,0.4375,0.2375
RBI allows REs to use HDFC Bank-Crunchfish AB's offline payments product,2023-12-11T08:00:00Z,rbi allows re use hdfc bankcrunchfish ab offline payment product,neutral,RBI REs HDFC,11,12,2023,0.0,0.0
"HDFC Bank Q2 Update: Advances grow 57% to ₹23.54 lakh crore, home loans rise 10% YoY after merger | Mint",2023-10-04T07:00:00Z,hdfc bank q2 update advance grow 57 2354 lakh crore home loan rise 10 yoy merger mint,neutral,HDFC Bank Q2,4,10,2023,0.0,0.0
"HDFC Bank in talks for infra bond sale worth Rs 10,000 crore",2023-12-14T08:00:00Z,hdfc bank talk infra bond sale worth r 10000 crore,positive,HDFC Bank,14,12,2023,0.1,0.3
"A day of rejigs: FTSE, BSE100 rebalancing today, HDFC Bank likely to get $500-mn inflow",2023-12-15T08:00:00Z,day rejigs ftse bse100 rebalancing today hdfc bank likely get 500mn inflow,neutral,BSE100 HDFC Bank,15,12,2023,1.0,0.0
"HDFC Bank Share Price Live Updates: HDFC Bank Sees 1.04% Decline in Current Price, 1-Week Returns at -2.26%",2024-01-05T12:30:22Z,hdfc bank share price live update hdfc bank see 104 decline current price 1week return 226,positive,HDFC Bank Share HDFC Bank Current Price,5,1,2024,0.45,0.06818181818181818
HDFC Bank Q2 Results Preview: Margin contraction seen after merger; here’s what to expect | Mint,2023-10-13T07:00:00Z,hdfc bank q2 result preview margin contraction seen merger here expect mint,neutral,HDFC Bank Q2 Results Margin,13,10,2023,0.0,0.0
"Stocks to watch: HDFC Bank, Sun Pharma, Vedanta, Nestle India, IDFC First Bank, KPI Green",2023-12-19T08:00:00Z,stock watch hdfc bank sun pharma vedanta nestle india idfc first bank kpi green,positive,HDFC Bank Sun Pharma Vedanta Nestle India IDFC First Bank KPI Green,19,12,2023,0.31666666666666665,0.024999999999999994
"SBI, HDFC Bank, ICICI Bank remain domestic systematically important banks: RBI",2023-12-29T08:00:00Z,sbi hdfc bank icici bank remain domestic systematically important bank rbi,positive,HDFC Bank ICICI Bank,29,12,2023,0.55,0.2
"RIL, HDFC Bank, Infosys, and 5 other large caps are 7-25% below all-time highs | Mint",2023-12-06T08:00:00Z,ril hdfc bank infosys 5 large cap 725 alltime high mint,positive,HDFC Bank Infosys,6,12,2023,0.4842857142857142,0.18714285714285714
"Sensex, Nifty End Lower For Second Day As HDFC Bank, Infosys Weigh: Market Wrap",2024-01-03T10:52:31Z,sensex nifty end lower second day hdfc bank infosys weigh market wrap,neutral,Sensex Nifty End Lower Second HDFC Bank Infosys Weigh Market Wrap,3,1,2024,0.0,0.0
HDFC Bank share price targets see revisions post Q2 results; here's what analysts say on most-valued bank,2023-10-17T07:00:00Z,hdfc bank share price target see revision post q2 result here analyst say mostvalued bank,neutral,HDFC Bank,17,10,2023,0.0,0.0
"HDFC bank raises Rs 7,425 crore through infrastructure bond issue",2023-12-20T08:00:00Z,hdfc bank raise r 7425 crore infrastructure bond issue,neutral,HDFC,20,12,2023,0.0,0.0
HDFC Bank shares rise as loan book grows 4.9% sequentially; check analyst views & other details,2023-10-04T07:00:00Z,hdfc bank share rise loan book grows 49 sequentially check analyst view detail,neutral,HDFC Bank,4,10,2023,0.0,0.0
HDFC Bank sees 46.70 lakh shares changing hands in large deal: Report,2023-10-13T07:00:00Z,hdfc bank see 4670 lakh share changing hand large deal report,positive,HDFC Bank,13,10,2023,0.42857142857142855,0.21428571428571427
HDFC Bank shares hover near 52-week low; is it correct time to accumulate?,2023-10-27T07:00:00Z,hdfc bank share hover near 52week low correct time accumulate,positive,HDFC Bank,27,10,2023,0.35,0.05
"When are HDFC Bank Q2 results due? Sunday or Monday, October 16, 2023? | Mint",2023-10-14T07:00:00Z,hdfc bank q2 result due sunday monday october 16 2023 mint,negative,HDFC Bank Q2,14,10,2023,0.375,-0.125
"Stocks to Watch: HDFC Bank, Jio Financial, Grasim, SpiceJet, ICICI Securities | Mint",2023-10-17T07:00:00Z,stock watch hdfc bank jio financial grasim spicejet icici security mint,neutral,HDFC Bank Jio Financial Grasim SpiceJet ICICI Securities,17,10,2023,0.0,0.0
HDFC Bank share price falls ahead of Q2 results today; here’s what to expect | Mint,2023-10-16T07:00:00Z,hdfc bank share price fall ahead q2 result today here expect mint,neutral,HDFC Bank Q2,16,10,2023,0.0,0.0
"SBI, ICICI Bank and HDFC Bank remained too big to fail banks in 2023",2023-12-28T08:00:00Z,sbi icici bank hdfc bank remained big fail bank 2023,negative,ICICI Bank HDFC Bank,28,12,2023,0.19999999999999996,-0.25
"SBI, HDFC Bank, LIC among top seven picks of Centrum for December | Mint",2023-12-05T08:00:00Z,sbi hdfc bank lic among top seven pick centrum december mint,positive,HDFC Bank LIC Centrum,5,12,2023,0.5,0.5
"HDFC Bank, Wipro, ITC, HUL, Nestle India, other Q2 results to watch out for this week: Check list | Mint",2023-10-16T07:00:00Z,hdfc bank wipro itc hul nestle india q2 result watch week check list mint,neutral,HDFC Bank Wipro ITC HUL Nestle India Check,16,10,2023,0.0,0.0
RBI increases capital buffer for systemically important SBI and HDFC Bank,2023-12-29T08:00:00Z,rbi increase capital buffer systemically important sbi hdfc bank,positive,RBI SBI HDFC Bank,29,12,2023,1.0,0.4
"HDFC Bank share price rises 2% after Q2 results; should you buy, sell or hold the stock? | Mint",2023-10-17T07:00:00Z,hdfc bank share price rise 2 q2 result buy sell hold stock mint,neutral,HDFC Bank,17,10,2023,0.0,0.0
HDFC Bank share price: How to trade the bluechip bank stock ahead of Sept quarter results?,2023-10-13T07:00:00Z,hdfc bank share price trade bluechip bank stock ahead sept quarter result,neutral,HDFC Bank Sept,13,10,2023,0.0,0.0
Home Buyers Alert! Step-By-Step Guide To Apply For Home Loans Online At HDFC Bank,2024-01-06T00:15:10Z,home buyer alert stepbystep guide apply home loan online hdfc bank,neutral,Home Buyers Alert Home Loans Online HDFC Bank,6,1,2024,0.0,0.0
"HDFC Bank Stocks Updates: HDFC Bank Sees 1.06% Increase in Current Price, EMA5 at Rs 1689.00",2024-01-04T12:30:21Z,hdfc bank stock update hdfc bank see 106 increase current price ema5 r 168900,neutral,HDFC Bank Stocks HDFC Bank Current Price EMA5,4,1,2024,0.4,0.0
"HDFC Bank may face margin, net worth hit | Mint",2023-09-20T07:00:00Z,hdfc bank may face margin net worth hit mint,positive,HDFC Bank,20,9,2023,0.05,0.15
HDFC Bank Analyst Meet: 4 negative surprises lead to cut in share price targets,2023-09-20T07:00:00Z,hdfc bank analyst meet 4 negative surprise lead cut share price target,negative,HDFC Bank Analyst,20,9,2023,0.4,-0.3
"Jefferies maintains ‘Buy’ on HDFC, sees 24% upside despite lower pre-quarter retail net inflow and overall inflow",2024-01-08T06:39:27Z,jefferies maintains buy hdfc see 24 upside despite lower prequarter retail net inflow overall inflow,neutral,HDFC,8,1,2024,0.0,0.0
"RIL, TCS, HDFC Bank: 3 most-valued stocks delivered negative returns in 2 years. What's next?",2023-10-27T07:00:00Z,ril tc hdfc bank 3 mostvalued stock delivered negative return 2 year whats next,negative,TCS HDFC Bank,27,10,2023,0.2,-0.15
